COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
03,001,ATLANTICO,BARRANQUILLA,2019,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,MORA EN LA ENTREGA DE DOCUMENTOS RELACIONADOS CON UNA VOTACION ART. 393 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,2.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,TRAFICO DE VOTOS ART. 390A,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,6.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,2.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,TRAFICO DE VOTOS ART. 390A,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,DE LA VIOLACION AL EJERCICIO DE MECANISMOS DE PARTICIPACION,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
